question,option_a,option_b,option_c,option_d,correct_option,explanation,hint_1,hint_2,hint_3
What is the normal adult resting respiratory rate?,8-12,12-20,20-28,28-36,B,Adult resting RR is typically 12-20.,Think about standard vital signs.,Common nursing baseline.,Lower than 12 is bradypnea.
Which vital sign is most directly affected by fever?,Blood pressure,Respiratory rate,Temperature,Pain score,C,Fever raises body temperature.,Look for the obvious vital sign.,It is measured in degrees.,It is not a rate.
Which site is preferred for taking an adult oral temperature?,Under the tongue,Forehead skin,Inside ear canal,Axilla,A,Oral temps are taken sublingually.,Think mouth placement.,Sublingual pocket.,Not axillary.
A pulse ox reading of 98% indicates?,Severe hypoxia,Normal oxygenation,Mild hypoxia,Critical hypoxia,B,98% is normal for most adults.,Typical range is mid-90s.,Above 95% is normal.,Not hypoxic.
Which position is best for a patient with dyspnea?,Supine,Prone,High Fowler's,Trendelenburg,C,High Fowler's maximizes lung expansion.,Think upright.,Chest expansion improves.,Not supine.
What is the primary purpose of hand hygiene?,Improve comfort,Prevent infection,Lower blood pressure,Reduce pain,B,Hand hygiene reduces pathogen transmission.,Infection control.,Standard precautions.,Stops spread.
Which needle gauge is commonly used for IM injections?,18,21-23,25-27,30,B,IM commonly uses 21-23 gauge.,IM is thicker than SC.,Not insulin size.,Not large bore.
What is the normal adult heart rate range?,40-60,60-100,100-140,140-180,B,Normal adult HR is 60-100.,Common vital sign range.,Not bradycardia.,Not tachycardia.
Which is a sign of hypoglycemia?,Polyuria,Shakiness,Deep breathing,Dry skin,B,Hypoglycemia can cause tremors.,Think low sugar symptoms.,Adrenergic response.,Not hyperglycemia.
Which medication class reduces gastric acid secretion?,Beta blockers,Proton pump inhibitors,Diuretics,Anticoagulants,B,PPIs suppress acid production.,GI meds.,For reflux.,Not cardiac.
What is the first step in the nursing process?,Assessment,Diagnosis,Planning,Evaluation,A,Assessment comes first.,ADPIE order.,Gather data.,Before plan.
Which PPE is required for contact precautions?,N95 respirator,Gown and gloves,Surgical mask only,Shoe covers,B,Contact precautions need gown/gloves.,Think touch.,Barrier protection.,Mask not required.
A patient with BP 90/60 is?,Hypertensive,Normotensive,Hypotensive,Bradycardic,C,90/60 is low BP.,Below normal range.,Low perfusion.,Hypotension.
Which is a common side effect of opioids?,Diarrhea,Constipation,Hypertension,Hyperglycemia,B,Opioids often cause constipation.,GI slowing.,Monitor bowel.,Not diarrhea.
What is the best site for an infant IM injection?,Deltoid,Gluteus maximus,Vastus lateralis,Forearm,C,Vastus lateralis is preferred in infants.,Think thigh.,Large muscle.,Not gluteal.
Which lab indicates renal function?,ALT,Creatinine,Hemoglobin,Platelets,B,Creatinine reflects kidney function.,Renal marker.,BUN/Cr.,Not liver.
What is the priority for a patient with chest pain?,Give water,Obtain ECG,Apply cold pack,Ambulate,B,ECG is priority for chest pain.,Rule out MI.,Time sensitive.,Not ambulate.
Which is a sterile body site?,Oral cavity,Bladder,Large intestine,Skin surface,B,Bladder is sterile under normal conditions.,Think internal sterile.,Oral is not.,Skin is not.
Which action reduces risk of aspiration?,Supine position,Head of bed elevated,Drink quickly,Large bites,B,Elevate HOB.,Upright positioning.,Prevents aspiration.,Not supine.
A normal capillary refill time is?,< 2 seconds,3-4 seconds,5-6 seconds,> 6 seconds,A,Normal is under 2 seconds.,Perfusion check.,Quick refill.,Not delayed.
Which is a sign of dehydration?,Moist mucosa,Increased urine output,Tachycardia,Bounding pulse,C,Dehydration can cause tachycardia.,Low volume signs.,Dry mucosa,low output.,Not increased output.
Which is a standard precaution?,Wear gloves for blood contact,Only mask for all patients,No PPE if healthy,Use sterile gloves for all care,A,Gloves for blood/body fluids.,Standard precautions.,Not universal sterile gloves.,Not no PPE.
Which medication is a loop diuretic?,Furosemide,Hydrochlorothiazide,Spironolactone,Metoprolol,A,Furosemide is a loop diuretic.,Think Lasix.,Loop type.,Not thiazide.
What is normal adult oral temperature?,95-96 F,97-99 F,100-102 F,103-104 F,B,Normal oral temp ~97-99 F.,Afebrile range.,Not febrile.,Not hypothermic.
Which is the correct order for donning PPE?,Gown, mask, goggles, gloves,Gloves, gown, mask, goggles,Mask, goggles, gown, gloves,Gown, gloves, goggles, mask,A,Standard order: gown, mask, goggles, gloves.,Protect clothing first.,Gloves last.,Remove in reverse.
Which is an early sign of shock?,Hypertension,Bradycardia,Tachycardia,Polyuria,C,Tachycardia is early shock sign.,Compensation.,Rising pulse.,Not bradycardia.
Which is the best method to verify NG tube placement?,Auscultation of air,Chest x-ray,Blue litmus test,Tube length,B,Chest x-ray is most reliable.,Confirm placement.,Gold standard.,Not air auscultation alone.
What does PRN mean?,Every day,As needed,Before meals,At bedtime,B,PRN means as needed.,Medication timing.,Not scheduled.,As required.
Which is a complication of immobility?,Improved circulation,Pressure ulcers,Increased bone density,Better appetite,B,Immobility increases pressure ulcer risk.,Skin breakdown.,Turn/reposition.,Not improved circulation.
Which action prevents catheter-associated UTI?,Routine irrigation,Daily meatal care,Open drainage system,Frequent disconnection,B,Daily meatal care helps prevent CAUTI.,Keep closed system.,Reduce manipulation.,Hygiene matters.
What is the normal adult urine output?,10-20 mL/hr,30-50 mL/hr,60-80 mL/hr,100-120 mL/hr,B,Normal output ~30-50 mL/hr.,At least 30 mL/hr.,Renal perfusion.,Not too high.
Which vitamin is synthesized by skin with sunlight?,Vitamin A,Vitamin C,Vitamin D,Vitamin K,C,Sunlight helps produce vitamin D.,Skin synthesis.,Bone health.,Not A or C.
Which is a sign of fluid overload?,Dry skin,Crackles in lungs,Decreased weight,Low BP,B,Crackles indicate fluid in lungs.,Overload sign.,Edema possible.,Not dry skin.
What is the preferred injection site for insulin?,Deltoid,Abdomen,Vastus lateralis,Gluteus maximus,B,Abdomen is preferred for insulin.,Consistent absorption.,Subcutaneous.,Not IM.
Which electrolyte imbalance causes muscle cramps?,Hypernatremia,Hypocalcemia,Hyperkalemia,Hypermagnesemia,B,Hypocalcemia causes cramps.,Tetany risk.,Low calcium.,Not high.
Which test measures long-term glucose control?,Fasting glucose,Random glucose,HbA1c,Urine glucose,C,HbA1c reflects 2-3 months.,Glycemic control.,Not immediate.,Not urine.
What is the first action for a patient with suspected stroke?,Give oral fluids,Check blood glucose,Encourage sleep,Give aspirin,B,Check glucose quickly.,Rule out hypoglycemia.,Stroke protocol.,Time sensitive.
What is a common sign of infection?,Bradycardia,Fever,Low WBC,Clear drainage,B,Fever is common infection sign.,Inflammation.,Temp rises.,Not low WBC.
Which is appropriate for pain assessment?,Use numeric scale,Guess based on age,Only observe,Wait for complaint,A,Use patient-reported scale.,Pain is subjective.,Ask the patient.,Don't guess.
Which fluid is isotonic?,0.45% NS,0.9% NS,3% NS,D5W with insulin,B,0.9% NS is isotonic.,Normal saline.,Not hypotonic.,Not hypertonic.
What is the function of platelets?,Carry oxygen,Provide immunity,Clotting,Transport nutrients,C,Platelets help clot.,Hemostasis.,Not RBC or WBC.,Clot formation.
Which is a contact isolation example?,C. difficile,Influenza,TB,Measles,A,C. diff requires contact precautions.,Spore-forming.,Gown and gloves.,Not airborne.
A patient with wheezing likely has?,Upper airway obstruction,Bronchospasm,Fluid overload,GI bleeding,B,Wheezing indicates bronchospasm.,Asthma/COPD.,Airway narrowing.,Not fluid overload.
Which is a safe range for adult SpO2?,70-80%,80-90%,95-100%,100-110%,C,Normal SpO2 is 95-100%. ,Oxygenation.,Above mid-90s.,Not over 100.
Which is used to treat anaphylaxis?,Epinephrine,Insulin,Warfarin,Lasix,A,Epinephrine is first-line.,Emergency use.,IM injection.,Not anticoagulant.
What is the role of RN in delegation?,Only delegate to RNs,Delegate to unlicensed staff appropriately,Never delegate,Delegate only medications,B,Delegate appropriate tasks.,Use scope of practice.,Supervise outcomes.,Not never.
Which is an appropriate sterile field action?,Reach over field,Turn back to field,Keep hands above waist,Moisten with saline,C,Maintain sterile field above waist.,Avoid contamination.,Do not reach.,Do not turn away.
Which is a complication of IV infiltration?,Warmth and pain,Coolness and swelling,Rash and itching,High fever,B,Infiltration causes cool swelling.,Fluid in tissue.,Stop infusion.,Not warmth.
Which lab indicates anemia?,Low hemoglobin,High glucose,High sodium,Low calcium,A,Low Hgb indicates anemia.,RBC marker.,Low oxygen carrying.,Not glucose.
Which is a safety measure for fall prevention?,Bed in high position,Cluttered floor,Call light within reach,Dim lighting,C,Call light within reach prevents falls.,Safety measure.,Reduce hazards.,Not clutter.
Which is a sign of hypoxia?,Cyanosis,Hypertension,Hyperthermia,Polyphagia,A,Cyanosis indicates low oxygen.,Blue discoloration.,Hypoxia sign.,Not high BP.
Which is the best site to measure core temperature?,Oral,Rectal,Axillary,Temporal,B,Rectal is closest to core.,Core temp.,Accurate.,Not axillary.
Which is a normal adult systolic BP range?,70-90,90-120,120-150,150-180,B,Normal systolic 90-120.,Typical adult range.,Not hypertensive.,Not hypotensive.
